AD,PS,BE,CDU,PAN,LIVRE,IL,Chega
91,73,7,5,1,3,8,42
100,71,5,5,1,3,9,36
94,72,7,5,1,3,11,37
97,72,6,5,1,3,9,37
92,73,7,3,1,3,9,42
95,73,7,5,1,3,9,37
95,71,8,3,1,3,12,37
94,72,7,5,1,3,11,37
91,72,8,5,0,3,9,42
94,72,8,5,1,3,10,37
101,65,8,4,1,3,9,39
94,72,7,5,1,3,11,37
93,71,10,3,1,3,9,40
92,74,7,5,0,3,9,40
93,70,8,5,1,3,9,41
96,70,9,4,1,3,9,38
93,70,7,5,1,3,12,39
93,72,6,4,1,3,9,42
96,68,8,2,1,4,12,39
95,73,8,4,1,3,9,37
94,72,8,5,1,3,9,38
96,74,5,5,1,3,9,37
93,75,8,3,0,3,9,39
95,72,5,3,1,3,9,42
97,74,6,3,1,3,9,37
97,68,5,4,1,3,9,43
93,72,5,3,0,3,12,42
96,73,6,5,1,3,9,37
93,75,8,3,1,3,8,39
90,72,7,5,0,3,11,42
101,64,8,5,1,3,9,39
94,71,7,4,1,3,12,38
93,74,5,5,0,3,9,41
92,70,5,5,1,3,12,42
95,76,5,5,0,3,9,37
95,69,7,5,1,3,12,38
97,67,6,4,1,3,12,40
96,72,7,4,1,3,9,38
97,65,8,5,1,3,9,42
95,72,8,4,1,3,10,37
93,74,5,5,1,3,10,39
97,69,8,3,1,3,9,40
94,68,7,3,1,4,12,41
91,74,7,5,1,3,9,40
92,72,6,5,1,3,9,42
94,64,8,5,1,3,11,44
97,70,8,5,1,3,9,37
91,74,7,2,1,4,11,40
93,71,7,5,1,3,9,41
94,73,7,5,0,3,11,37
95,74,5,5,1,3,9,38
95,72,8,5,1,3,9,37
92,70,9,5,1,4,9,40
94,73,8,5,1,3,9,37
93,71,8,5,1,3,9,40
95,72,8,5,1,3,9,37
94,72,7,3,1,3,9,41
94,74,8,3,1,3,9,38
92,73,5,5,1,3,9,42
94,73,7,5,1,3,9,38
93,74,8,2,1,4,9,39
95,73,5,5,1,3,11,37
92,75,7,3,1,3,9,40
99,73,5,4,1,3,10,35
95,73,6,5,0,3,9,39
92,71,9,5,1,3,11,38
97,70,6,5,1,3,11,37
93,75,7,5,1,4,9,36
91,71,8,4,1,3,10,42
94,71,5,5,1,3,9,42
96,71,8,4,1,3,9,38
92,73,8,3,0,3,9,42
95,72,6,5,0,3,11,38
91,70,8,3,1,3,11,43
94,73,7,4,0,3,11,38
94,71,5,5,1,3,9,42
95,72,8,4,1,3,9,38
98,69,6,4,1,3,9,40
95,73,5,4,1,3,11,38
96,67,7,2,1,3,12,42
95,70,8,5,1,3,9,39
95,74,7,4,1,3,9,37
93,71,7,5,1,3,9,41
93,72,7,5,0,3,12,38
91,74,7,5,1,3,11,38
91,75,9,2,1,4,9,39
94,73,7,5,1,3,9,38
95,74,5,5,1,3,9,38
95,69,8,5,1,3,9,40
95,71,5,5,1,3,9,41
92,73,9,5,1,3,10,37
89,73,7,5,1,3,9,43
95,73,8,5,0,3,9,37
96,72,5,4,1,3,9,40
94,71,8,5,1,3,9,39
101,67,5,5,1,3,9,39
91,71,8,5,0,3,10,42
92,70,7,5,1,3,9,43
92,71,7,4,1,3,10,42
95,75,5,5,1,3,9,37
102,67,6,5,1,4,9,36
100,70,6,5,1,3,9,36
94,73,7,5,0,3,9,39
93,71,7,5,0,3,11,40
94,72,7,4,1,3,11,38
97,71,6,5,1,3,11,36
91,74,8,5,1,3,9,39
97,70,8,4,1,3,10,37
94,73,7,5,1,3,9,38
96,68,5,3,1,3,11,43
92,71,7,4,1,3,10,42
95,75,5,3,1,3,11,37
95,74,8,2,1,4,9,37
90,75,7,3,1,3,11,40
