PSD,PS,CDS-PP,BE,CDU,PAN,LIVRE,IL,Chega
96,99,0,7,8,2,1,6,11
94,100,0,10,7,1,1,6,11
90,106,0,8,8,1,1,6,10
94,100,0,8,8,1,1,7,11
95,97,0,9,8,1,1,9,10
90,103,0,7,7,2,1,9,11
97,98,0,7,9,1,1,6,11
92,103,0,9,7,1,1,6,11
96,97,0,10,8,1,1,6,11
92,104,0,7,7,1,1,8,10
96,100,0,7,9,1,1,6,10
98,97,0,8,8,1,1,6,11
90,104,0,7,8,2,1,8,10
95,101,0,7,8,1,1,6,11
96,101,0,9,8,1,1,6,8
90,102,0,9,8,2,1,8,10
96,101,0,9,5,1,1,7,10
94,99,0,10,8,1,1,6,11
91,103,0,9,8,1,1,6,11
91,105,0,7,8,1,1,6,11
95,98,0,7,8,1,1,9,11
96,97,0,10,7,1,1,8,10
91,98,0,11,8,2,1,8,11
94,99,0,8,7,1,1,9,11
90,106,0,7,8,1,1,7,10
97,95,1,8,7,2,1,8,11
96,97,0,9,8,2,1,7,10
96,99,0,10,7,1,1,6,10
93,103,0,9,7,1,1,8,8
95,102,0,7,7,1,1,6,11
96,99,0,7,7,2,1,8,10
93,99,0,8,8,1,1,9,11
95,95,0,9,8,1,1,12,9
97,98,0,7,7,1,1,9,10
93,100,0,7,8,2,1,8,11
94,99,1,9,6,1,1,9,10
93,103,0,7,6,1,1,8,11
97,97,0,9,8,2,1,6,10
91,104,0,7,7,1,1,8,11
93,99,0,8,8,1,1,9,11
99,97,0,8,7,1,1,6,11
90,105,0,7,8,1,1,7,11
98,97,0,8,8,1,1,9,8
94,100,0,9,7,2,1,6,11
96,98,0,7,7,1,1,9,11
92,101,0,7,8,2,1,8,11
99,98,0,7,7,1,1,7,10
91,104,0,7,8,1,1,7,11
93,101,0,10,7,2,1,6,10
87,108,0,7,9,1,1,7,10
100,94,0,9,8,1,1,6,11
91,105,0,7,8,1,1,6,11
95,99,0,8,8,2,1,6,11
90,103,0,7,8,2,1,8,11
97,99,0,9,6,1,1,6,11
96,97,0,9,8,2,1,6,11
95,103,0,7,6,1,1,6,11
